ind cancel,agent order cancel,capacity conservation,stay mul,high request room,ind demand mul,obj,time
True,False,False,0.8,0,0.5,174137.86380915795,0.17529002
True,False,False,0.8,1,0.5,154508.45062795587,0.16813040000000007
True,False,False,0.8,0,1.0,181761.02609658593,0.16664167999999985
True,False,False,0.8,1,1.0,162843.6855116883,0.1643773999999997
True,False,False,0.8,0,2.0,196090.8170956269,0.17485806000000004
True,False,False,0.8,1,2.0,180067.69649054334,0.17495488000000012
True,True,False,0.8,0,0.5,158937.71457463838,0.21760979999999996
True,True,False,0.8,1,0.5,140011.28183104194,1.33952688
True,True,False,0.8,0,1.0,166408.5057930097,0.2289338800000003
True,True,False,0.8,1,1.0,148878.508869851,1.3462001400000005
True,True,False,0.8,0,2.0,180855.05909544908,0.2421136600000004
True,True,False,0.8,1,2.0,166131.9624458717,1.3431222400000018
True,False,True,0.8,0,0.5,467321.4142645919,0.37301372000000016
True,False,True,0.8,1,0.5,441558.5635102151,0.5614827200000008
True,False,True,0.8,0,1.0,470868.7657502491,0.3730562599999999
True,False,True,0.8,1,1.0,447639.29037499183,0.3922150799999997
True,False,True,0.8,0,2.0,479759.3505259297,0.4701447000000002
True,False,True,0.8,1,2.0,459346.52688522154,0.4300382200000016
True,True,True,0.8,0,0.5,428628.75339144934,33.93923346
True,True,True,0.8,1,0.5,413004.7279365608,533.1202747799998
True,True,True,0.8,0,1.0,432449.9409724081,37.43027074000001
True,True,True,0.8,1,1.0,417534.4560266798,1532.4285554199998
True,True,True,0.8,0,2.0,441501.31887850835,97.07044411999959
True,True,True,0.8,1,2.0,429039.05652923137,15719.08881338
