room,time,outcome,sale
1,1,1,0.0
1,1,2,1.0
1,1,3,2.0
1,1,4,3.0
1,1,5,4.0
1,1,6,5.0
1,1,7,6.0
1,1,8,7.0
1,1,9,8.0
1,1,10,9.0
1,1,11,10.0
1,1,12,11.0
1,1,13,12.0
1,1,14,13.0
1,1,15,14.0
1,1,16,15.0
1,1,17,16.0
1,1,18,17.0
1,1,19,18.0
1,1,20,19.0
1,1,21,20.0
1,1,22,21.0
1,1,23,22.0
1,1,24,23.0
1,1,25,24.0
1,1,26,25.0
1,1,27,26.0
1,1,28,27.0
1,1,29,28.0
1,1,30,29.0
1,1,31,30.0
1,1,32,31.0
1,1,33,32.0
1,1,34,33.0
1,1,35,34.0
1,1,36,35.0
1,1,37,36.0
1,1,38,37.0
1,1,39,38.0
1,1,40,39.0
1,1,41,40.0
1,1,42,41.0
1,1,43,42.0
1,1,44,43.0
1,1,45,44.0
1,1,46,44.0
1,1,47,44.0
1,1,48,44.0
1,1,49,44.0
1,1,50,44.0
1,1,51,44.0
1,1,52,44.0
1,1,53,-0.0
1,1,54,-0.0
1,1,55,-0.0
1,1,56,-0.0
1,1,57,-0.0
1,1,58,-0.0
1,1,59,-0.0
1,1,60,-0.0
1,1,61,-0.0
1,1,62,-0.0
1,1,63,-0.0
1,1,64,-0.0
1,1,65,-0.0
1,1,66,-0.0
1,1,67,-0.0
1,1,68,-0.0
1,1,69,-0.0
1,1,70,-0.0
1,1,71,-0.0
1,1,72,-0.0
1,1,73,-0.0
1,1,74,-0.0
1,1,75,-0.0
1,1,76,-0.0
1,1,77,-0.0
1,1,78,-0.0
1,1,79,-0.0
1,1,80,-0.0
1,1,81,-0.0
1,1,82,-0.0
1,1,83,-0.0
1,1,84,-0.0
1,1,85,-0.0
1,1,86,-0.0
1,1,87,-0.0
1,1,88,-0.0
1,1,89,-0.0
1,1,90,-0.0
1,1,91,-0.0
1,1,92,-0.0
1,1,93,-0.0
1,1,94,-0.0
1,1,95,-0.0
1,1,96,-0.0
1,1,97,-0.0
1,1,98,-0.0
1,1,99,-0.0
1,1,100,-0.0
1,1,101,-0.0
1,10,1,0.0
1,10,2,1.0
1,10,3,2.0
1,10,4,2.0
1,10,5,2.0
1,10,6,2.0
1,10,7,2.0
1,10,8,2.0
1,10,9,2.0
1,10,10,2.0
1,10,11,2.0
1,10,12,2.0
1,10,13,2.0
1,10,14,2.0
1,10,15,2.0
1,10,16,2.0
1,10,17,2.0
1,10,18,2.0
1,10,19,2.0
1,10,20,2.0
1,10,21,2.0
1,10,22,2.0
1,10,23,2.0
1,10,24,2.0
1,10,25,2.0
1,10,26,2.0
1,10,27,2.0
1,10,28,2.0
1,10,29,2.0
1,10,30,2.0
1,10,31,2.0
1,10,32,2.0
1,10,33,2.0
1,10,34,2.0
1,10,35,2.0
1,10,36,2.0
1,10,37,2.0
1,10,38,2.0
1,10,39,2.0
1,10,40,2.0
1,10,41,2.0
1,10,42,2.0
1,10,43,2.0
1,10,44,2.0
1,10,45,2.0
1,10,46,2.0
1,10,47,2.0
1,10,48,2.0
1,10,49,2.0
1,10,50,2.0
1,10,51,2.0
1,10,52,2.0
1,10,53,-0.0
1,10,54,-0.0
1,10,55,-0.0
1,10,56,-0.0
1,10,57,-0.0
1,10,58,-0.0
1,10,59,-0.0
1,10,60,-0.0
1,10,61,-0.0
1,10,62,-0.0
1,10,63,-0.0
1,10,64,-0.0
1,10,65,-0.0
1,10,66,-0.0
1,10,67,-0.0
1,10,68,-0.0
1,10,69,-0.0
1,10,70,-0.0
1,10,71,-0.0
1,10,72,-0.0
1,10,73,-0.0
1,10,74,-0.0
1,10,75,-0.0
1,10,76,-0.0
1,10,77,-0.0
1,10,78,-0.0
1,10,79,-0.0
1,10,80,-0.0
1,10,81,-0.0
1,10,82,-0.0
1,10,83,-0.0
1,10,84,-0.0
1,10,85,-0.0
1,10,86,-0.0
1,10,87,-0.0
1,10,88,-0.0
1,10,89,-0.0
1,10,90,-0.0
1,10,91,-0.0
1,10,92,-0.0
1,10,93,-0.0
1,10,94,-0.0
1,10,95,-0.0
1,10,96,-0.0
1,10,97,-0.0
1,10,98,-0.0
1,10,99,-0.0
1,10,100,-0.0
1,10,101,-0.0
1,11,1,0.0
1,11,2,0.0
1,11,3,0.0
1,11,4,0.0
1,11,5,0.0
1,11,6,0.0
1,11,7,0.0
1,11,8,0.0
1,11,9,0.0
1,11,10,0.0
1,11,11,0.0
1,11,12,0.0
1,11,13,0.0
1,11,14,0.0
1,11,15,0.0
1,11,16,0.0
1,11,17,0.0
1,11,18,0.0
1,11,19,0.0
1,11,20,0.0
1,11,21,0.0
1,11,22,0.0
1,11,23,0.0
1,11,24,0.0
1,11,25,0.0
1,11,26,0.0
1,11,27,0.0
1,11,28,0.0
1,11,29,0.0
1,11,30,0.0
1,11,31,0.0
1,11,32,0.0
1,11,33,0.0
1,11,34,0.0
1,11,35,0.0
1,11,36,0.0
1,11,37,0.0
1,11,38,0.0
1,11,39,0.0
1,11,40,0.0
1,11,41,0.0
1,11,42,0.0
1,11,43,0.0
1,11,44,0.0
1,11,45,0.0
1,11,46,0.0
1,11,47,0.0
1,11,48,0.0
1,11,49,0.0
1,11,50,0.0
1,11,51,0.0
1,11,52,0.0
1,11,53,-0.0
1,11,54,-0.0
1,11,55,-0.0
1,11,56,-0.0
1,11,57,-0.0
1,11,58,-0.0
1,11,59,-0.0
1,11,60,-0.0
1,11,61,-0.0
1,11,62,-0.0
1,11,63,-0.0
1,11,64,-0.0
1,11,65,-0.0
1,11,66,-0.0
1,11,67,-0.0
1,11,68,-0.0
1,11,69,-0.0
1,11,70,-0.0
1,11,71,-0.0
1,11,72,-0.0
1,11,73,-0.0
1,11,74,-0.0
1,11,75,-0.0
1,11,76,-0.0
1,11,77,-0.0
1,11,78,-0.0
1,11,79,-0.0
1,11,80,-0.0
1,11,81,-0.0
1,11,82,-0.0
1,11,83,-0.0
1,11,84,-0.0
1,11,85,-0.0
1,11,86,-0.0
1,11,87,-0.0
1,11,88,-0.0
1,11,89,-0.0
1,11,90,-0.0
1,11,91,-0.0
1,11,92,-0.0
1,11,93,-0.0
1,11,94,-0.0
1,11,95,-0.0
1,11,96,-0.0
1,11,97,-0.0
1,11,98,-0.0
1,11,99,-0.0
1,11,100,-0.0
1,11,101,-0.0
1,12,1,0.0
1,12,2,0.0
1,12,3,0.0
1,12,4,0.0
1,12,5,0.0
1,12,6,0.0
1,12,7,0.0
1,12,8,0.0
1,12,9,0.0
1,12,10,0.0
1,12,11,0.0
1,12,12,0.0
1,12,13,0.0
1,12,14,0.0
1,12,15,0.0
1,12,16,0.0
1,12,17,0.0
1,12,18,0.0
1,12,19,0.0
1,12,20,0.0
1,12,21,0.0
1,12,22,0.0
1,12,23,0.0
1,12,24,0.0
1,12,25,0.0
1,12,26,0.0
1,12,27,0.0
1,12,28,0.0
1,12,29,0.0
1,12,30,0.0
1,12,31,0.0
1,12,32,0.0
1,12,33,0.0
1,12,34,0.0
1,12,35,0.0
1,12,36,0.0
1,12,37,0.0
1,12,38,0.0
1,12,39,0.0
1,12,40,0.0
1,12,41,0.0
1,12,42,0.0
1,12,43,0.0
1,12,44,0.0
1,12,45,0.0
1,12,46,0.0
1,12,47,0.0
1,12,48,0.0
