1,2,3,4,5,6
0.0,0.0,12.0,5.0,0.0,0.0
0.0,0.0,0.0,0.0,5.0,6.0
0.0,17.0,11.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,8.0,0.0
26.0,12.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0
26.0,0.0,0.0,0.0,0.0,0.0
0.0,11.0,0.0,0.0,0.0,0.0
0.0,15.0,0.0,0.0,0.0,0.0
23.0,0.0,11.0,0.0,0.0,0.0
18.0,0.0,8.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0
24.0,11.0,0.0,0.0,8.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0
0.0,18.0,0.0,0.0,0.0,0.0
24.0,11.0,0.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0
0.0,11.0,0.0,5.0,0.0,0.0
18.0,0.0,0.0,0.0,8.0,0.0
19.0,16.0,7.0,0.0,0.0,0.0
15.0,14.0,0.0,8.0,0.0,0.0
18.0,10.0,0.0,4.0,0.0,0.0
22.0,16.0,0.0,0.0,0.0,0.0
0.0,15.0,13.0,0.0,0.0,0.0
0.0,20.0,0.0,5.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0
0.0,19.0,13.0,0.0,0.0,0.0
0.0,0.0,8.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0,0.0
26.0,12.0,12.0,0.0,0.0,0.0
22.0,17.0,0.0,0.0,0.0,0.0
18.0,10.0,0.0,0.0,6.0,0.0
0.0,0.0,11.0,4.0,0.0,6.0
23.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,5.0,0.0
21.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,13.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0,0.0
26.0,0.0,0.0,4.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0,6.0
22.0,0.0,13.0,0.0,0.0,0.0
0.0,17.0,0.0,7.0,0.0,0.0
0.0,16.0,0.0,8.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0,0.0
0.0,15.0,0.0,0.0,0.0,0.0
0.0,14.0,11.0,0.0,0.0,0.0
0.0,16.0,13.0,10.0,0.0,0.0
0.0,14.0,0.0,0.0,0.0,0.0
25.0,17.0,0.0,0.0,0.0,0.0
0.0,20.0,0.0,0.0,0.0,6.0
18.0,0.0,11.0,0.0,0.0,0.0
25.0,15.0,0.0,0.0,0.0,0.0
0.0,0.0,12.0,0.0,0.0,0.0
0.0,0.0,0.0,8.0,0.0,0.0
0.0,0.0,0.0,4.0,0.0,0.0
0.0,0.0,0.0,10.0,0.0,0.0
26.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,8.0,0.0,0.0,0.0
0.0,20.0,7.0,0.0,0.0,0.0
18.0,14.0,0.0,0.0,0.0,0.0
23.0,16.0,0.0,9.0,0.0,0.0
23.0,11.0,0.0,0.0,0.0,0.0
20.0,19.0,0.0,0.0,0.0,0.0
16.0,11.0,0.0,0.0,0.0,0.0
26.0,0.0,0.0,0.0,0.0,0.0
21.0,0.0,0.0,0.0,0.0,0.0
25.0,13.0,0.0,8.0,0.0,0.0
15.0,0.0,11.0,0.0,0.0,0.0
26.0,15.0,9.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0,6.0,0.0
0.0,15.0,0.0,0.0,5.0,0.0
22.0,18.0,0.0,0.0,0.0,0.0
0.0,18.0,0.0,0.0,8.0,0.0
0.0,0.0,10.0,0.0,0.0,0.0
0.0,0.0,8.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,11.0,0.0,0.0,0.0
0.0,14.0,11.0,0.0,0.0,0.0
19.0,0.0,11.0,8.0,0.0,0.0
0.0,20.0,0.0,0.0,0.0,0.0
