2022-06-12 18:29:47 WARNING  Start!
2022-06-12 18:29:47 WARNING  solver yulindog, overbooking 0, agent_cancel 0,Stay duration: 0.75| Highest room rate: 0| Individual demand: 0.50, 0
2022-06-12 18:29:47 WARNING  solver yulindog, overbooking 0, agent_cancel 0,Stay duration: 0.75| Highest room rate: 0| Individual demand: 0.50, 1
2022-06-12 18:29:47 WARNING  solver yulindog, overbooking 0, agent_cancel 0,Stay duration: 0.75| Highest room rate: 0| Individual demand: 0.50, 2
2022-06-12 18:29:47 WARNING  solver yulindog, overbooking 0, agent_cancel 0,Stay duration: 0.75| Highest room rate: 0| Individual demand: 0.50, 3
2022-06-12 18:29:47 WARNING  solver yulindog, overbooking 0, agent_cancel 0,Stay duration: 0.75| Highest room rate: 0| Individual demand: 0.50, 4
2022-06-12 18:29:47 WARNING  solver yulindog, overbooking 0, agent_cancel 0,Stay duration: 0.75| Highest room rate: 1| Individual demand: 0.50, 0
2022-06-12 18:29:47 WARNING  solver yulindog, overbooking 0, agent_cancel 0,Stay duration: 0.75| Highest room rate: 1| Individual demand: 0.50, 1
2022-06-12 18:29:47 WARNING  solver yulindog, overbooking 0, agent_cancel 0,Stay duration: 0.75| Highest room rate: 1| Individual demand: 0.50, 2
2022-06-12 18:29:47 WARNING  solver yulindog, overbooking 0, agent_cancel 0,Stay duration: 0.75| Highest room rate: 1| Individual demand: 0.50, 3
2022-06-12 18:29:47 WARNING  solver yulindog, overbooking 0, agent_cancel 0,Stay duration: 0.75| Highest room rate: 1| Individual demand: 0.50, 4
2022-06-12 18:29:48 WARNING  solver yulindog, overbooking 0, agent_cancel 0,Stay duration: 0.75| Highest room rate: 0| Individual demand: 1.00, 0
2022-06-12 18:29:48 WARNING  solver yulindog, overbooking 0, agent_cancel 0,Stay duration: 0.75| Highest room rate: 0| Individual demand: 1.00, 1
2022-06-12 18:29:48 WARNING  solver yulindog, overbooking 0, agent_cancel 0,Stay duration: 0.75| Highest room rate: 0| Individual demand: 1.00, 2
2022-06-12 18:29:48 WARNING  solver yulindog, overbooking 0, agent_cancel 0,Stay duration: 0.75| Highest room rate: 0| Individual demand: 1.00, 3
2022-06-12 18:29:48 WARNING  solver yulindog, overbooking 0, agent_cancel 0,Stay duration: 0.75| Highest room rate: 0| Individual demand: 1.00, 4
2022-06-12 18:29:48 WARNING  solver yulindog, overbooking 0, agent_cancel 0,Stay duration: 0.75| Highest room rate: 1| Individual demand: 1.00, 0
2022-06-12 18:29:48 WARNING  solver yulindog, overbooking 0, agent_cancel 0,Stay duration: 0.75| Highest room rate: 1| Individual demand: 1.00, 1
