overbooking,agent_cancel,stay_mul,top_room_rate,ind_demand_mul,gurobi_obj,gurobi_time,algo_obj,algo_time,algo_obj_ratio_by_gurobi,algo_time_ratio_by_gurobi
0,0,0.75,0,0.5,393306.5782,1.02911462,283353.5451,0.002026,0.707342984,0.001963425
0,0,0.75,1,0.5,396171.1009,1.01397338,329874.9778,0.00139858,0.820805188,0.001385183
0,0,0.75,0,1,429951.901,0.98749262,382954.0734,0.00210568,0.88762487,0.002126051
0,0,0.75,1,1,436013.4891,1.01904566,358190.7119,0.00153266,0.812804935,0.001516346
0,0,0.75,0,1.5,462381.5831,0.97743414,430090.6237,0.00156816,0.928120978,0.001610528
0,0,0.75,1,1.5,462587.2827,0.99672162,396315.8427,0.00137756,0.851454937,0.001384212
0,1,0.75,0,0.5,325871.4984,1.04679534,237437.5936,0.00201672,0.719018138,0.00191806
0,1,0.75,1,0.5,327237.8099,1.01584248,278477.8401,0.00133756,0.837925835,0.001318452
0,1,0.75,0,1,366432.0738,1.00392092,330034.749,0.0020851,0.898969826,0.002069745
0,1,0.75,1,1,376005.2274,1.0117691,311053.9212,0.00149498,0.818690356,0.001480521
0,1,0.75,0,1.5,393181.7126,1.01173956,375827.8395,0.00152602,0.956128201,0.001513859
0,1,0.75,1,1.5,401246.4434,1.00088594,349179.052,0.00135718,0.865652481,0.001353723
1,0,0.75,0,0.5,421739.912,18.58385,411653.5524,0.00151644,0.974023392,0.000166824
1,0,0.75,1,0.5,406912.1503,5.29002404,369690.6564,0.0014582,0.904569248,0.0002765
1,0,0.75,0,1,452054.2647,570.1183724,433570.6732,0.00160176,0.958269275,2.06E-05
1,0,0.75,1,1,453709.6144,41.04873236,390252.2571,0.00144052,0.855900853,4.05E-05
1,0,0.75,0,1.5,475567.2642,2996.629373,453238.561,0.00144504,0.950521758,6.48E-06
1,0,0.75,1,1.5,476564.8585,66.15093422,413480.4038,0.00145018,0.864730062,2.32E-05
1,1,0.75,0,0.5,353945.5051,1413.758289,311384.118,0.00156926,0.877561861,1.60E-05
1,1,0.75,1,0.5,351070.0261,75.26783598,310815.5751,0.00162074,0.878317445,2.21E-05
1,1,0.75,0,1,388637.8544,7262.724631,365010.9207,0.00159072,0.938123541,6.28E-06
1,1,0.75,1,1,393357.7999,193.908071,349181.6036,0.00141014,0.881837344,9.29E-06
1,1,0.75,0,1.5,415122.0197,6810.911643,398667.6071,0.00154542,0.959806649,7.74E-07
1,1,0.75,1,1.5,419889.1485,977.1496868,368039.2742,0.00139008,0.871182326,3.32E-06
