order,from type,to type,upgrade amount
1,1,2,0.0
1,1,3,0.0
1,1,4,0.0
1,2,3,0.0
1,2,4,0.0
1,3,4,0.0
2,1,2,0.0
2,1,3,0.0
2,1,4,0.0
2,2,3,0.0
2,2,4,0.0
2,3,4,0.0
3,1,2,0.0
3,1,3,0.0
3,1,4,0.0
3,2,3,0.0
3,2,4,0.0
3,3,4,0.0
4,1,2,0.0
4,1,3,0.0
4,1,4,0.0
4,2,3,0.0
4,2,4,0.0
4,3,4,0.0
5,1,2,10.0
5,1,3,0.0
5,1,4,2.0000000000000036
5,2,3,0.0
5,2,4,0.0
5,3,4,0.0
6,1,2,2.0
6,1,3,0.0
6,1,4,0.0
6,2,3,0.0
6,2,4,0.0
6,3,4,1.9999999999999964
7,1,2,9.0
7,1,3,0.0
7,1,4,0.0
7,2,3,0.0
7,2,4,5.0
7,3,4,1.0
8,1,2,0.0
8,1,3,0.0
8,1,4,0.0
8,2,3,0.0
8,2,4,0.0
8,3,4,0.0
9,1,2,0.0
9,1,3,0.0
9,1,4,0.0
9,2,3,0.0
9,2,4,0.0
9,3,4,0.0
10,1,2,0.0
10,1,3,0.0
10,1,4,0.0
10,2,3,0.0
10,2,4,0.0
10,3,4,0.0
11,1,2,5.0
11,1,3,3.0
11,1,4,0.0
11,2,3,0.0
11,2,4,0.0
11,3,4,0.0
