,obj,time,mip_gap,agent_ub,ind_ub,capacity_value,income_ub
0,2947734.5930449814,43.83236550000038,0.028999338566810307,3421702.8604029953,1112918.75,3649288.3634975,4058583.75
1,2763483.283315077,68.91612239999995,0.0009856223262353389,3690116.7460195455,1112918.75,3887358.6941558234,4058583.75
2,3146511.448109257,207.66077080000105,0.008548695204107379,3247006.217012414,1112918.75,3573790.061617067,4058583.75
3,3109784.8785091997,287.51678990000073,0.007129362018712971,3884024.9140959634,1112918.75,3705348.830850648,4058583.75
4,3158149.6459954847,70.23531080000066,0.012212671436854896,3675563.249249223,1112918.75,3745782.003287922,4058583.75
5,2670591.590518119,157.2069845999995,0.04804897212806543,3213127.138150166,1112918.75,3451514.339626507,4058583.75
6,2857699.2967945687,157.50247669999953,0.014591636259743721,3227946.678281974,1112918.75,3392628.006705378,4058583.75
7,2679117.5478697806,181.70979070000067,0.0,2797396.4373437525,1112918.75,3236293.809689803,4058583.75
8,2637311.49280003,64.39935479999986,0.0110326259509042,3124588.645619406,1112918.75,3532765.1305141267,4058583.75
9,2960008.09279,49.66335679999975,0.005626555935309539,3587931.3136834116,1112918.75,3725359.966782338,4058583.75
10,2820487.3517247727,21.820752400000856,0.006408236821003978,2863445.395961618,1112918.75,3347171.0459959917,4058583.75
11,2693013.166944555,55.233990199998516,0.02894718091507786,3447108.4502631705,1112918.75,3632816.5924267187,4058583.75
12,2829013.9610717082,26.069386799999847,0.03206650053439328,3423636.4531238205,1112918.75,3635274.5197739275,4058583.75
13,2893153.845939981,29.97335220000059,0.03353822119620861,3126506.235221374,1112918.75,3476694.2905849335,4058583.75
14,2600290.234669773,98.52413549999983,0.006377966623839918,3283015.348511865,1112918.75,3421455.808372427,4058583.75
15,2757497.7299967,119.79799570000068,0.0,3357246.48106383,1112918.75,3393353.758858265,4058583.75
16,2931707.962457401,25.7641251999994,0.030116758834228867,3530583.1792037454,1112918.75,3765402.7099404125,4058583.75
17,3073657.862998329,35.2572882000004,0.009640750705297704,3255260.3464647313,1112918.75,3516274.238697643,4058583.75
18,2863442.379364254,146.71567030000006,0.03125235916112725,3357224.236084546,1112918.75,3473585.309418125,4058583.75
19,2777033.4043993303,88.63257449999946,0.04415682566509399,3577900.1363911573,1112918.75,3811163.994766259,4058583.75
20,2735345.282075918,90.20495599999958,0.042206509683051,3058511.0685419017,1112918.75,3385180.602244321,4058583.75
21,2777227.0041316715,143.38739580000038,0.003077323384336309,2928212.366605049,1112918.75,3388657.5484592114,4058583.75
22,2664287.479582778,19.614298000000417,0.015152564491536279,3081217.0673726024,1112918.75,3546784.654515672,4058583.75
23,2851775.625176006,120.06652749999921,0.0009981601575955673,3369852.693210425,1112918.75,3547897.5153673464,4058583.75
24,3316330.2821312756,150.3650392999989,0.005611224854256688,3710482.6761337374,1112918.75,4070335.684262413,4058583.75
25,2765314.3316987404,53.00675130000127,0.0323897505777772,3431728.806478214,1112918.75,3722501.961620458,4058583.75
26,2966842.962290519,111.79161460000068,0.008349129854141008,3464152.0442794366,1112918.75,3648600.4171572602,4058583.75
27,2798338.719154053,101.03795660000105,0.04152233401013056,3475735.5622216845,1112918.75,3690517.712110392,4058583.75
28,3119775.8693195367,146.67217770000025,0.015328177540761045,3320164.463679014,1112918.75,3722601.9483673936,4058583.75
29,2956968.4715821114,143.28784160000032,0.0348378990599017,3429364.031553162,1112918.75,3752988.060242377,4058583.75
