room,time,demand_ID,rev
1,1,1,0.0
1,1,2,1.0
1,1,3,2.0
1,1,4,3.0
1,1,5,3.0
1,1,6,2.999999999999976
1,1,7,3.0000000000000426
1,1,8,3.0000000000000426
1,1,9,3.0000000000000426
1,1,10,2.999999999999984
1,1,11,2.9999999999999822
1,1,12,2.999999999999977
1,1,13,2.9999999999999787
1,1,14,2.999999999999975
1,1,15,2.9999999999999716
1,1,16,2.999999999999968
1,1,17,2.9999999999999645
1,1,18,2.999999999999961
1,1,19,2.9999999999999574
1,1,20,2.9999999999999822
1,1,21,2.999999999999993
1,2,1,0.0
1,2,2,1.0
1,2,3,2.0
1,2,4,3.0
1,2,5,3.0
1,2,6,3.0
1,2,7,3.0
1,2,8,3.0
1,2,9,3.0
1,2,10,3.0
1,2,11,3.0
1,2,12,3.0
1,2,13,3.0
1,2,14,2.9999999999999805
1,2,15,2.9999999999999805
1,2,16,2.9999999999999787
1,2,17,2.9999999999999787
1,2,18,3.0
1,2,19,3.0
1,2,20,3.0
1,2,21,2.999999999999993
1,3,1,0.0
1,3,2,1.0
1,3,3,2.0
1,3,4,3.0
1,3,5,3.0
1,3,6,3.0
1,3,7,3.0
1,3,8,3.0
1,3,9,3.0
1,3,10,3.0
1,3,11,3.0
1,3,12,3.0
1,3,13,3.0
1,3,14,3.0
1,3,15,3.0
1,3,16,3.0
1,3,17,3.0
1,3,18,3.0
1,3,19,3.0
1,3,20,3.0
1,3,21,3.0
1,4,1,0.0
1,4,2,1.0
1,4,3,2.0
1,4,4,3.0
1,4,5,3.0
1,4,6,2.999999999999983
1,4,7,2.9999999999999876
1,4,8,2.9999999999999867
1,4,9,2.999999999999985
1,4,10,2.999999999999983
1,4,11,2.9999999999999813
1,4,12,2.999999999999991
1,4,13,2.9999999999999876
1,4,14,2.999999999999984
1,4,15,2.9999999999999805
1,4,16,2.999999999999977
1,4,17,2.9999999999999734
1,4,18,2.99999999999997
1,4,19,2.9999999999999662
1,4,20,2.9999999999999627
1,4,21,3.0
1,5,1,0.0
1,5,2,1.0
1,5,3,2.0
1,5,4,3.0
1,5,5,3.0
1,5,6,3.0
1,5,7,3.0
1,5,8,3.0
1,5,9,3.0
1,5,10,3.0
1,5,11,3.0
1,5,12,3.0
1,5,13,3.0
1,5,14,3.0
1,5,15,3.0
1,5,16,3.0
1,5,17,3.0
1,5,18,3.0
1,5,19,3.0
1,5,20,3.0
1,5,21,3.0
1,6,1,0.0
1,6,2,1.0
1,6,3,2.0
1,6,4,3.0
1,6,5,4.0
1,6,6,5.0
1,6,7,6.0
1,6,8,7.0
1,6,9,8.0
1,6,10,9.0
1,6,11,10.0
1,6,12,11.0
1,6,13,12.0
1,6,14,13.0
1,6,15,14.0
1,6,16,15.0
1,6,17,16.0
1,6,18,17.0
1,6,19,18.0
1,6,20,19.0
1,6,21,20.0
2,1,1,0.0
2,1,2,0.0
2,1,3,0.0
2,1,4,0.0
2,1,5,0.0
2,1,6,0.0
2,1,7,0.0
2,1,8,0.0
2,1,9,0.0
2,1,10,0.0
2,1,11,0.0
2,2,1,0.0
2,2,2,0.0
2,2,3,0.0
2,2,4,0.0
2,2,5,0.0
2,2,6,0.0
2,2,7,0.0
2,2,8,0.0
2,2,9,0.0
2,2,10,0.0
2,2,11,0.0
2,3,1,0.0
2,3,2,0.0
2,3,3,0.0
2,3,4,0.0
2,3,5,0.0
2,3,6,0.0
2,3,7,0.0
2,3,8,0.0
2,3,9,0.0
2,3,10,0.0
2,3,11,0.0
2,4,1,0.0
2,4,2,0.0
2,4,3,0.0
2,4,4,0.0
2,4,5,0.0
2,4,6,0.0
2,4,7,0.0
2,4,8,0.0
2,4,9,0.0
2,4,10,0.0
2,4,11,0.0
2,5,1,0.0
2,5,2,0.0
2,5,3,0.0
2,5,4,0.0
2,5,5,0.0
2,5,6,0.0
2,5,7,0.0
2,5,8,0.0
2,5,9,0.0
2,5,10,0.0
2,5,11,0.0
2,6,1,0.0
2,6,2,1.0
2,6,3,2.0
2,6,4,3.0
2,6,5,4.0
2,6,6,5.0
2,6,7,5.0
2,6,8,5.0
2,6,9,5.0
2,6,10,5.0
2,6,11,5.0
