1,2,3,4,5,6,7,8,9,10,11,12
0.0,70.0,210.0,280.0,420.0,630.0,840.0,1120.0,1260.0,1330.0,2170.0,2870.0
-130.0,0.0,140.0,210.0,350.0,560.0,770.0,1050.0,1190.0,1260.0,2100.0,2800.0
-390.0,-260.0,0.0,70.0,210.0,420.0,630.0,909.9999999999999,1050.0,1120.0,1959.9999999999998,2660.0
-520.0,-390.0,-130.0,0.0,140.0,350.0,560.0,840.0,979.9999999999999,1050.0,1889.9999999999998,2590.0
-780.0,-650.0,-390.0,-260.0,0.0,210.0,420.0,700.0,840.0,909.9999999999999,1750.0,2450.0
-1170.0,-1040.0,-780.0,-650.0,-390.0,0.0,210.0,489.99999999999994,630.0,700.0,1540.0,2240.0
-1560.0,-1430.0,-1170.0,-1040.0,-780.0,-390.0,0.0,280.0,420.0,489.99999999999994,1330.0,2029.9999999999998
-2080.0,-1950.0,-1690.0,-1560.0,-1300.0,-910.0,-520.0,0.0,140.0,210.0,1050.0,1750.0
-2340.0,-2210.0,-1950.0,-1820.0,-1560.0,-1170.0,-780.0,-260.0,0.0,70.0,909.9999999999999,1610.0
-2470.0,-2340.0,-2080.0,-1950.0,-1690.0,-1300.0,-910.0,-390.0,-130.0,0.0,840.0,1540.0
-4030.0,-3900.0,-3640.0,-3510.0,-3250.0,-2860.0,-2470.0,-1950.0,-1690.0,-1560.0,0.0,700.0
-5330.0,-5200.0,-4940.0,-4810.0,-4550.0,-4160.0,-3770.0,-3250.0,-2990.0,-2860.0,-1300.0,0.0
