room,time,outcome,sale
1,1,1,-0.0
1,1,2,-0.0
1,1,3,-0.0
1,1,4,-0.0
1,1,5,-0.0
1,1,6,-0.0
1,1,7,-0.0
1,1,8,-0.0
1,1,9,-0.0
1,1,10,-0.0
1,1,11,-0.0
1,1,12,-0.0
1,1,13,-0.0
1,1,14,-0.0
1,1,15,-0.0
1,1,16,-0.0
1,1,17,-0.0
1,1,18,-0.0
1,1,19,-0.0
1,1,20,-0.0
1,1,21,-0.0
1,1,22,-0.0
1,1,23,-0.0
1,1,24,-0.0
1,1,25,-0.0
1,1,26,-0.0
1,1,27,-0.0
1,1,28,-0.0
1,1,29,-0.0
1,1,30,-0.0
1,1,31,-0.0
1,1,32,31.0
1,1,33,32.0
1,1,34,33.0
1,1,35,34.0
1,1,36,35.0
1,1,37,36.0
1,1,38,37.0
1,1,39,38.0
1,1,40,39.0
1,1,41,40.0
1,1,42,41.0
1,1,43,42.0
1,1,44,43.0
1,1,45,44.0
1,1,46,45.0
1,1,47,46.0
1,1,48,47.0
1,1,49,48.0
1,1,50,49.0
1,1,51,50.0
1,1,52,51.0
1,1,53,52.0
1,1,54,53.0
1,1,55,54.0
1,1,56,55.0
1,1,57,56.0
1,1,58,57.0
1,1,59,58.0
1,1,60,59.0
1,1,61,60.0
1,1,62,61.0
1,1,63,62.0
1,1,64,63.0
1,1,65,64.0
1,1,66,65.0
1,1,67,66.0
1,1,68,67.0
1,1,69,68.0
1,1,70,69.0
1,1,71,70.0
1,1,72,71.0
1,1,73,72.0
1,1,74,73.0
1,1,75,74.0
1,1,76,75.0
1,1,77,76.0
1,1,78,77.0
1,1,79,78.0
1,1,80,79.0
1,1,81,80.0
1,1,82,81.0
1,1,83,82.0
1,1,84,83.0
1,1,85,84.0
1,1,86,85.0
1,1,87,86.0
1,1,88,87.0
1,1,89,-0.0
1,1,90,-0.0
1,1,91,-0.0
1,1,92,-0.0
1,1,93,-0.0
1,1,94,-0.0
1,1,95,-0.0
1,1,96,-0.0
1,1,97,-0.0
1,1,98,-0.0
1,1,99,-0.0
1,1,100,-0.0
1,1,101,-0.0
1,10,1,-0.0
1,10,2,-0.0
1,10,3,-0.0
1,10,4,-0.0
1,10,5,-0.0
1,10,6,-0.0
1,10,7,-0.0
1,10,8,-0.0
1,10,9,-0.0
1,10,10,-0.0
1,10,11,-0.0
1,10,12,-0.0
1,10,13,-0.0
1,10,14,-0.0
1,10,15,-0.0
1,10,16,-0.0
1,10,17,-0.0
1,10,18,-0.0
1,10,19,-0.0
1,10,20,-0.0
1,10,21,-0.0
1,10,22,-0.0
1,10,23,-0.0
1,10,24,-0.0
1,10,25,-0.0
1,10,26,-0.0
1,10,27,-0.0
1,10,28,-0.0
1,10,29,-0.0
1,10,30,-0.0
1,10,31,-0.0
1,10,32,31.0
1,10,33,32.0
1,10,34,33.0
1,10,35,34.0
1,10,36,35.0
1,10,37,36.0
1,10,38,37.0
1,10,39,38.0
1,10,40,39.0
1,10,41,40.0
1,10,42,41.0
1,10,43,42.0
1,10,44,43.0
1,10,45,44.0
1,10,46,45.0
1,10,47,46.0
1,10,48,47.0
1,10,49,48.0
1,10,50,49.0
1,10,51,50.0
1,10,52,51.0
1,10,53,52.0
1,10,54,53.0
1,10,55,54.0
1,10,56,55.0
