ind cancel,agent order cancel,capacity conservation,stay mul,high request room,ind demand mul,gurobi_obj,gurobi_time,obj,time,obj_ratio,time_ratio
TRUE,FALSE,FALSE,0.8,0,0.5,174137.8638,0.17529002,139963.7104,0.16176224,0.803752311,0.922826297
TRUE,FALSE,FALSE,0.8,1,0.5,154508.4506,0.1681304,89612.658,0.15250528,0.579985481,0.907065468
TRUE,FALSE,FALSE,0.8,0,1,181761.0261,0.16664168,148105.9956,0.15469924,0.814839126,0.928334616
TRUE,FALSE,FALSE,0.8,1,1,162843.6855,0.1643774,100688.6787,0.15386232,0.61831491,0.936030866
TRUE,FALSE,FALSE,0.8,0,2,196090.8171,0.17485806,165503.324,0.15777656,0.844013639,0.902312195
TRUE,FALSE,FALSE,0.8,1,2,180067.6965,0.17495488,122626.5291,0.15588274,0.681002376,0.890988237
TRUE,TRUE,FALSE,0.8,0,0.5,158937.7146,0.2176098,128081.2914,0.15148792,0.805858394,0.696144751
TRUE,TRUE,FALSE,0.8,1,0.5,140011.2818,1.33952688,82151.72893,0.1512706,0.586750781,0.11292838
TRUE,TRUE,FALSE,0.8,0,1,166408.5058,0.22893388,136260.2351,0.15146348,0.818829749,0.661603604
TRUE,TRUE,FALSE,0.8,1,1,148878.5089,1.34620014,93264.35239,0.15277524,0.62644604,0.113486276
TRUE,TRUE,FALSE,0.8,0,2,180855.0591,0.24211366,153860.9418,0.15685602,0.850741707,0.647861091
TRUE,TRUE,FALSE,0.8,1,2,166131.9624,1.34312224,115228.4871,0.16112224,0.693596135,0.119960965
TRUE,FALSE,TRUE,0.8,0,0.5,467321.4143,0.37301372,176443.7104,0.2420085,0.377563931,0.648792489
TRUE,FALSE,TRUE,0.8,1,0.5,441558.5635,0.56148272,103706.3627,0.24748092,0.234864345,0.440763199
TRUE,FALSE,TRUE,0.8,0,1,470868.7658,0.37305626,184272.9316,0.24459738,0.391346687,0.655658157
TRUE,FALSE,TRUE,0.8,1,1,447639.2904,0.39221508,114613.0763,0.24303542,0.256038911,0.619648332
TRUE,FALSE,TRUE,0.8,0,2,479759.3505,0.4701447,199652.0751,0.24835716,0.416150462,0.528256854
TRUE,FALSE,TRUE,0.8,1,2,459346.5269,0.43003822,135736.9423,0.24358754,0.295500095,0.566432305
TRUE,TRUE,TRUE,0.8,0,0.5,428628.7534,33.93923346,161272.8468,0.4145107,0.376252982,0.012213319
TRUE,TRUE,TRUE,0.8,1,0.5,413004.7279,533.1202748,94945.12211,0.50678712,0.229888705,0.000950606
TRUE,TRUE,TRUE,0.8,0,1,432449.941,37.43027074,169102.0715,0.42521744,0.391032708,0.011360256
TRUE,TRUE,TRUE,0.8,1,1,417534.456,1532.428555,105858.1463,0.50311084,0.253531523,0.000328309
TRUE,TRUE,TRUE,0.8,0,2,441501.3189,97.07044412,184481.3246,0.42129606,0.417849997,0.004340106
TRUE,TRUE,TRUE,0.8,1,2,429039.0565,15719.08881,127022.0195,0.50229308,0.29606167,3.19543E-05
