stay mul,high request room,ind demand mul,obj,reject capacity ratio,time
0.250,2,0.5,1179890.2477351525,0.7458503401360544,27.126196760000006
0.250,2,1,1218445.9646303789,0.7600755857898714,20.25728146
0.250,2,2,1286434.961850051,0.8107634164777021,16.263431260000015
0.250,0,0.5,1253061.0844992595,0.6405442176870859,13.445755919999987
0.250,0,1,1279922.1090555037,0.6755857898715041,13.350124979999986
0.250,0,2,1327198.3311596937,0.7432501889644747,11.73331543999999
0.250,5,0.5,1090334.9607328179,0.8363869992441421,81.66268504
0.250,5,1,1143065.5148801957,0.8495691609977325,49.19256554000003
0.250,5,2,1238937.9225411715,0.8780196523053666,28.415406339999937
0.200,2,0.5,1215655.1883155839,0.7058503401360544,40.43126527999998
0.200,2,1,1251721.5581285846,0.7247619047619047,25.686201980000078
0.200,2,2,1315781.4399608404,0.7776266061980348,20.23808374
0.200,0,0.5,1295161.7256834707,0.6051398337112623,17.476810639999986
0.200,0,1,1317625.2929258638,0.6419198790627362,16.569106499999997
0.200,0,2,1359068.0540698715,0.7235827664399093,14.11961451999996
0.200,5,0.5,1119367.986064779,0.800755857898715,307.40276034000016
0.200,5,1,1169572.3054307918,0.8128344671201815,172.98128613999998
0.200,5,2,1259418.48730512,0.8508692365835271,43.339869039999755
0.143,2,0.5,1233340.7467656597,0.698972033282216,42.7990625800001
0.143,2,1,1267300.8764965266,0.722464096749811,42.27594617999985
0.143,2,2,1330136.228093276,0.7754799697656841,27.066629680000005
0.143,0,0.5,1303153.4184863877,0.5976870745747593,27.16003032000026
0.143,0,1,1326399.1365400853,0.6332426303854876,22.66569888000013
0.143,0,2,1368425.903969078,0.7164928193499621,19.978320200000052
0.143,5,0.5,1118608.5009773085,0.8043537414965986,1198.4474442800001
0.143,5,1,1168309.084918321,0.8173091458805744,158.68619407999978
0.143,5,2,1259908.770995693,0.8568102796674225,44.40665701999969
0.111,2,0.5,1255094.3867659324,0.6825396824740964,61.636780320000256
0.111,2,1,1287467.0411214463,0.7062585032965155,37.14456199999986
0.111,2,2,1347626.3934532509,0.7673015871774348,37.86796589999976
0.111,0,0.5,1317401.5249686423,0.5677853363685668,34.03569131999939
0.111,0,1,1337856.3796804235,0.6136810281165973,30.750344359999872
0.111,0,2,1378146.1780351463,0.7083144369051043,29.012819359999774
0.111,5,0.5,1157201.9362140526,0.7737566137566139,136.39014846000026
0.111,5,1,1204317.7894181807,0.7905366591080877,58.92753984000046
0.111,5,2,1290340.5776643218,0.8291005291005291,54.36375873999968
